0.0,0.0,3.2,3.2,3.2,3.2,4.0,4.0,4.0,5.6
5.6,6.4,6.4,7.2,8.0,8.0,8.8,8.8,9.6,9.6
10.4,10.4,12.0,12.0,12.8,12.8,13.6,13.6,15.2,15.2
15.2,16.0,16.8,16.8,17.6,17.6,18.4,19.2,19.2,20.0
20.8,20.8,20.8,21.6,22.4,23.2,23.2,24.0,24.8,24.8
25.6,25.6,26.4,27.2,27.2,28.0,28.8,28.8,29.6,30.4
32.0,32.0,33.6,34.4,35.2,36.8,37.6,38.4,40.0,40.0
41.6,42.4,43.4,43.4,45.2,45.2,47.0,47.0,49.7,49.7
49.7,53.3,53.3,55.1,56.0,56.9,57.8,58.7,59.6,60.5
61.4,62.3,64.1,64.1,65.9,66.8,67.7,68.6,70.4,71.3
72.2,72.2,74.0,74.9,75.8,76.7,77.6,79.4,80.3,82.1
82.1,83.9,83.9,83.9,83.9,83.9,86.6,86.6,86.6,86.6
86.6,90.2,90.2,90.2,90.2,90.2,90.2,90.2,90.2,99.2
101.0,101.0,101.9,103.7,104.6,105.5,106.4,108.2,109.1,110.0
110.9,112.7,112.7,114.5,114.5,116.3,117.2,118.1,119.0,119.9
120.8,121.7,122.6,124.4,125.3,126.2,127.1,129.8,130.7,131.6
131.6,133.4,135.2,135.2,137.0,137.0,137.0,138.3,139.1,139.9
140.7,142.3,143.1,143.9,145.5,146.3,147.1,148.7,148.7,150.3
